"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","school_enrolled_pct","income_under25kpct","income25k_49kpct","pop50k_74kpct","pop75k_99kpct","pop100koverpct","pov_below_line","pov_1_2overline","pov_doubleline"
"13099","05000US13099","Early County","Early County, Georgia","ga",25.7852742147258,43.9245467907888,23.1504164625184,14.8701616854483,8.32925036746693,9.72562469377756,28.8463426607756,24.359351988218,46.7943053510064
"13101","05000US13101","Echols County","Echols County, Georgia","ga",21.4104515474378,41.5651058370751,22.5144323284157,16.6773572803079,5.25978191148172,13.9833226427197,26.8439538384345,18.665328650276,54.4907175112895
"13103","05000US13103","Effingham County","Effingham County, Georgia","ga",28.0743861894857,16.6284347698765,20.7281956171604,19.0882912782469,14.6664063643906,28.8886719703255,8.56007705273296,16.9430016167315,74.4969213305356
"13105","05000US13105","Elbert County","Elbert County, Georgia","ga",23.1296524393509,33.1330930449873,28.4875183553598,16.5131491122681,8.12975570684822,13.7364837805366,19.5381037945249,27.2011415283797,53.2607546770954
"13107","05000US13107","Emanuel County","Emanuel County, Georgia","ga",26.0319977610896,36.7969494756911,29.5281220209724,14.2278360343184,10.6053384175405,8.8417540514776,26.9880073800738,26.9972324723247,46.0147601476015
"13109","05000US13109","Evans County","Evans County, Georgia","ga",25.5462348809988,32.026959560659,25.5616575137294,17.9480778831752,10.7838242636046,13.6794807788318,27.2638181105449,22.4421795374363,50.2940023520188
"13111","05000US13111","Fannin County","Fannin County, Georgia","ga",17.281975551727,26.7756428639709,26.2307618774496,18.3443265462193,13.2109740942549,15.4382946181053,13.5209892613082,22.0427920598763,64.4362186788155
"13113","05000US13113","Fayette County","Fayette County, Georgia","ga",28.0325953994868,10.1552084119438,15.8931401403668,16.4037934243956,13.5335697934747,44.0142882298191,5.60064420980248,11.6609212562091,82.7384345339884
"13115","05000US13115","Floyd County","Floyd County, Georgia","ga",25.4779183524929,26.2509471557264,26.5877136362361,17.921589537788,11.107681082143,18.1320685881065,19.0616943009094,23.0304534029493,57.9078522961413
"13117","05000US13117","Forsyth County","Forsyth County, Georgia","ga",30.7313533405899,8.93111638954869,13.0763488293179,14.0766881574483,13.0790634543604,50.8367831693247,5.87158559742916,9.02534326614081,85.10307113643
"13119","05000US13119","Franklin County","Franklin County, Georgia","ga",22.5541345399141,34.7621914509332,23.1186032510536,19.2895845875978,10.3792895845876,12.4503311258278,24.7980650755259,22.4432984986081,52.7586364258659
"13121","05000US13121","Fulton County","Fulton County, Georgia","ga",27.9743428060246,19.9747010119595,19.8759549618015,16.2153513859446,10.3598356065757,33.5741570337186,15.0991064553096,15.6150016876494,69.2858918570409
"13123","05000US13123","Gilmer County","Gilmer County, Georgia","ga",18.7715190745076,24.7917561185058,25.5732073851438,21.2966938600258,11.7217689995706,16.616573636754,16.3250168577208,22.1409305461902,61.534052596089
"13125","05000US13125","Glascock County","Glascock County, Georgia","ga",24.1957563312799,29.9547511312217,29.1402714932127,19.6380090497738,10.8597285067873,10.4072398190045,18.3185235816815,21.701982228298,59.9794941900205
"13127","05000US13127","Glynn County","Glynn County, Georgia","ga",24.179163475554,24.5640524617343,24.7860970482873,15.9753678538651,11.0104508985404,23.6640317375729,18.2926829268293,20.0535277448107,61.65378932836
"13129","05000US13129","Gordon County","Gordon County, Georgia","ga",24.7648444777264,25.914063269932,30.8958312801813,15.906179166256,11.6339804868434,15.6499457967872,20.0271022038371,25.5046002424934,54.4682975536695
"13131","05000US13131","Grady County","Grady County, Georgia","ga",25.1470835434527,29.9546309616023,26.8562576076131,17.2402345911254,9.14020139426801,16.8086754453912,23.450572658598,23.3774673056616,53.1719600357404
"13133","05000US13133","Greene County","Greene County, Georgia","ga",19.900858420989,28.912050256996,21.2878355225585,16.2764134780126,9.76584808680754,23.7578526556254,22.2566424401287,20.3026331466698,57.4407244132015
"13135","05000US13135","Gwinnett County","Gwinnett County, Georgia","ga",30.3796593058192,13.8460952328175,21.6054086255386,19.3406159515662,14.7524971945526,30.4553829955251,11.3680612304134,19.004894146226,69.6270446233606
"13137","05000US13137","Habersham County","Habersham County, Georgia","ga",24.3663027690578,25.7716354063837,25.0411319512998,19.64461994077,13.2346166502139,16.3079960513327,14.4972402207823,23.7700983921286,61.732661387089
"13139","05000US13139","Hall County","Hall County, Georgia","ga",27.3283018467078,17.252975864604,24.6500132955843,19.2441851371009,13.8852825702711,24.9675431324397,14.6006589089334,21.0092958748589,64.3900452162077
"13141","05000US13141","Hancock County","Hancock County, Georgia","ga",14.1499346560532,37.5125376128385,30.3911735205617,12.136409227683,9.32798395185557,10.6318956870612,24.1285956006768,28.8663282571912,47.005076142132
"13143","05000US13143","Haralson County","Haralson County, Georgia","ga",24.8974642462285,28.5136592379583,25.2785765636233,15.7800143781452,11.0711718188354,19.3565780014378,15.5414191825115,22.6865356904369,61.7720451270516
"13145","05000US13145","Harris County","Harris County, Georgia","ga",24.2953102475232,14.6405658825465,19.9128146076657,15.8743214344465,14.1388386247738,35.4334594505675,6.84777999878854,15.6369253134654,77.5152946877461
"13147","05000US13147","Hart County","Hart County, Georgia","ga",21.7923267025888,29.5738097614532,27.3280766543567,18.1555045413714,11.3484379678611,13.5941710749576,17.4020501600421,29.7678376078765,52.8301122320814
"13149","05000US13149","Heard County","Heard County, Georgia","ga",24.6026813460002,27.1998217865894,25.5513477389174,20.004455335264,14.5021162842504,12.7422588549788,15.6342957130359,21.0148731408574,63.3508311461067
"13151","05000US13151","Henry County","Henry County, Georgia","ga",29.6675239479667,14.0749871319047,21.240484382196,19.5500230271178,17.126757510904,28.0077479478774,10.3809692848918,16.466647552212,73.1523831628961
"13153","05000US13153","Houston County","Houston County, Georgia","ga",29.7388200569722,20.0352652014391,22.7888006269369,19.4314822071029,13.1086809389805,24.6357710255406,15.6572682039484,16.7747846557167,67.5679471403349
"13155","05000US13155","Irwin County","Irwin County, Georgia","ga",26.257355390252,43.0568216347615,22.0297781829231,18.1099969614099,6.4721969006381,10.3312063202674,26.5048330404218,23.8905975395431,49.6045694200351
"13157","05000US13157","Jackson County","Jackson County, Georgia","ga",26.200715152088,18.4124534809839,19.3019878369792,22.891894345103,13.8195516020695,25.5741127348643,11.0175222871196,18.7888103289271,70.1936673839533
"13159","05000US13159","Jasper County","Jasper County, Georgia","ga",22.1677107706242,28.2288185571064,26.9510517004128,19.166502850403,13.0725378415569,12.5810890505209,17.8465858705291,28.6062666272539,53.547147502217
"13161","05000US13161","Jeff Davis County","Jeff Davis County, Georgia","ga",27.2244726917167,31.9924098671727,33.8899430740038,13.719165085389,11.3472485768501,9.05123339658444,20.5640029472838,32.8421193649943,46.5938776877219
"13163","05000US13163","Jefferson County","Jefferson County, Georgia","ga",23.9091571211018,38.8304510607951,24.4606881797112,17.7215189873418,8.59333214476734,10.3940096273846,24.787498365372,25.7094285340656,49.5030731005623
"13165","05000US13165","Jenkins County","Jenkins County, Georgia","ga",22.0200826934436,41.947785274274,29.0114403050748,17.1311234966266,5.63215019067175,6.27750073335289,29.2618829981718,27.0680987202925,43.6700182815356
"13167","05000US13167","Johnson County","Johnson County, Georgia","ga",22.1715618704273,33.6506991966677,25.9149062778935,13.1508479619161,15.6501041356739,11.6334424278489,22.6196794395499,25.6660651735485,51.7142553869016
