"elec_name","acs_name","same_name","town_match","acs_name2","same_name2"
"MONSON","MONSON TOWN",0,1,"MONSON",1
"MONTAGUE","MONTAGUE TOWN",0,1,"MONTAGUE",1
"MONTEREY","MONTEREY TOWN",0,1,"MONTEREY",1
"MONTGOMERY","MONTGOMERY TOWN",0,1,"MONTGOMERY",1
"MOUNT WASHINGTON","MOUNT WASHINGTON TOWN",0,1,"MOUNT WASHINGTON",1
"NAHANT","NAHANT TOWN",0,1,"NAHANT",1
"NANTUCKET","NANTUCKET TOWN",0,1,"NANTUCKET",1
"NATICK","NATICK TOWN",0,1,"NATICK",1
"NEEDHAM","NEEDHAM TOWN",0,1,"NEEDHAM",1
"NEW ASHFORD","NEW ASHFORD TOWN",0,1,"NEW ASHFORD",1
"NEW BEDFORD","NEW BEDFORD CITY",0,1,"NEW BEDFORD",1
"NEW BRAINTREE","NEW BRAINTREE TOWN",0,1,"NEW BRAINTREE",1
"NEWBURY","NEWBURY TOWN",0,1,"NEWBURY",1
"NEWBURYPORT","NEWBURYPORT CITY",0,1,"NEWBURYPORT",1
"NEW MARLBOROUGH","NEW MARLBOROUGH TOWN",0,1,"NEW MARLBOROUGH",1
"NEW SALEM","NEW SALEM TOWN",0,1,"NEW SALEM",1
"NEWTON","NEWTON CITY",0,1,"NEWTON",1
"NORFOLK","NORFOLK TOWN",0,1,"NORFOLK",1
"NORTH ADAMS","NORTH ADAMS CITY",0,1,"NORTH ADAMS",1
"NORTHAMPTON","NORTHAMPTON CITY",0,1,"NORTHAMPTON",1
"NORTH ANDOVER","NORTH ANDOVER TOWN",0,1,"NORTH ANDOVER",1
"NORTH ATTLEBOROUGH","NORTH ATTLEBOROUGH TOWN",0,1,"NORTH ATTLEBOROUGH",1
"NORTHBOROUGH","NORTHBOROUGH TOWN",0,1,"NORTHBOROUGH",1
"NORTHBRIDGE","NORTHBRIDGE TOWN",0,1,"NORTHBRIDGE",1
"NORTH BROOKFIELD","NORTH BROOKFIELD TOWN",0,1,"NORTH BROOKFIELD",1
"NORTHFIELD","NORTHFIELD TOWN",0,1,"NORTHFIELD",1
"NORTH READING","NORTH READING TOWN",0,1,"NORTH READING",1
"NORTON","NORTON TOWN",0,1,"NORTON",1
"NORWELL","NORWELL TOWN",0,1,"NORWELL",1
"NORWOOD","NORWOOD TOWN",0,1,"NORWOOD",1
"OAK BLUFFS","OAK BLUFFS TOWN",0,1,"OAK BLUFFS",1
"OAKHAM","OAKHAM TOWN",0,1,"OAKHAM",1
"ORANGE","ORANGE TOWN",0,1,"ORANGE",1
"ORLEANS","ORLEANS TOWN",0,1,"ORLEANS",1
"OTIS","OTIS TOWN",0,1,"OTIS",1
"OXFORD","OXFORD TOWN",0,1,"OXFORD",1
"PALMER","PALMER TOWN CITY",0,1,"PALMER",1
"PAXTON","PAXTON TOWN",0,1,"PAXTON",1
"PEABODY","PEABODY CITY",0,1,"PEABODY",1
"PELHAM","PELHAM TOWN",0,1,"PELHAM",1
"PEMBROKE","PEMBROKE TOWN",0,1,"PEMBROKE",1
"PEPPERELL","PEPPERELL TOWN",0,1,"PEPPERELL",1
"PERU","PERU TOWN",0,1,"PERU",1
"PETERSHAM","PETERSHAM TOWN",0,1,"PETERSHAM",1
"PHILLIPSTON","PHILLIPSTON TOWN",0,1,"PHILLIPSTON",1
"PITTSFIELD","PITTSFIELD CITY",0,1,"PITTSFIELD",1
"PLAINFIELD","PLAINFIELD TOWN",0,1,"PLAINFIELD",1
"PLAINVILLE","PLAINVILLE TOWN",0,1,"PLAINVILLE",1
"PLYMOUTH","PLYMOUTH TOWN",0,1,"PLYMOUTH",1
"PLYMPTON","PLYMPTON TOWN",0,1,"PLYMPTON",1
"PRINCETON","PRINCETON TOWN",0,1,"PRINCETON",1
"PROVINCETOWN","PROVINCETOWN TOWN",0,1,"PROVINCETOWN",1
"QUINCY","QUINCY CITY",0,1,"QUINCY",1
"RANDOLPH","RANDOLPH TOWN",0,1,"RANDOLPH",1
"RAYNHAM","RAYNHAM TOWN",0,1,"RAYNHAM",1
"READING","READING TOWN",0,1,"READING",1
"REHOBOTH","REHOBOTH TOWN",0,1,"REHOBOTH",1
"REVERE","REVERE CITY",0,1,"REVERE",1
"RICHMOND","RICHMOND TOWN",0,1,"RICHMOND",1
"ROCHESTER","ROCHESTER TOWN",0,1,"ROCHESTER",1
"ROCKLAND","ROCKLAND TOWN",0,1,"ROCKLAND",1
"ROCKPORT","ROCKPORT TOWN",0,1,"ROCKPORT",1
"ROWE","ROWE TOWN",0,1,"ROWE",1
"ROWLEY","ROWLEY TOWN",0,1,"ROWLEY",1
"ROYALSTON","ROYALSTON TOWN",0,1,"ROYALSTON",1
"RUSSELL","RUSSELL TOWN",0,1,"RUSSELL",1
"RUTLAND","RUTLAND TOWN",0,1,"RUTLAND",1
"SALEM","SALEM CITY",0,1,"SALEM",1
"SALISBURY","SALISBURY TOWN",0,1,"SALISBURY",1
"SANDISFIELD","SANDISFIELD TOWN",0,1,"SANDISFIELD",1
"SANDWICH","SANDWICH TOWN",0,1,"SANDWICH",1
"SAUGUS","SAUGUS TOWN",0,1,"SAUGUS",1
"SAVOY","SAVOY TOWN",0,1,"SAVOY",1
"SCITUATE","SCITUATE TOWN",0,1,"SCITUATE",1
"SEEKONK","SEEKONK TOWN",0,1,"SEEKONK",1
"SHARON","SHARON TOWN",0,1,"SHARON",1
"SHEFFIELD","SHEFFIELD TOWN",0,1,"SHEFFIELD",1
"SHELBURNE","SHELBURNE TOWN",0,1,"SHELBURNE",1
"SHERBORN","SHERBORN TOWN",0,1,"SHERBORN",1
"SHIRLEY","SHIRLEY TOWN",0,1,"SHIRLEY",1
"SHREWSBURY","SHREWSBURY TOWN",0,1,"SHREWSBURY",1
"SHUTESBURY","SHUTESBURY TOWN",0,1,"SHUTESBURY",1
"SOMERSET","SOMERSET TOWN",0,1,"SOMERSET",1
"SOMERVILLE","SOMERVILLE CITY",0,1,"SOMERVILLE",1
